model_name,train_time
all-mpnet-base-v2_6_9_25,36.76839208602905
all-mpnet-base-v2_6_10_5,56.16851449012756
all-mpnet-base-v2_6_10_6,71.78664231300354
all-mpnet-base-v2_6_10_7,50.80560779571533
all-mpnet-base-v2_6_10_8,48.47986030578613
all-mpnet-base-v2_6_10_9,46.80749225616455
all-mpnet-base-v2_6_10_10,45.500216245651245
all-mpnet-base-v2_6_10_11,44.21392750740051
all-mpnet-base-v2_6_10_12,43.03169107437134
all-mpnet-base-v2_6_10_13,41.802730560302734
all-mpnet-base-v2_6_10_14,41.217490911483765
all-mpnet-base-v2_6_10_15,40.5477249622345
all-mpnet-base-v2_6_10_16,40.71815371513367
all-mpnet-base-v2_6_10_17,40.71484112739563
all-mpnet-base-v2_6_10_18,39.502511501312256
all-mpnet-base-v2_6_10_19,40.761672019958496
all-mpnet-base-v2_6_10_20,38.49440550804138
all-mpnet-base-v2_6_10_21,37.43321204185486
all-mpnet-base-v2_6_10_22,37.42330813407898
all-mpnet-base-v2_6_10_23,37.04045367240906
all-mpnet-base-v2_6_10_24,37.148133277893066
all-mpnet-base-v2_6_10_25,36.73825693130493
all-mpnet-base-v2_6_11_5,57.19757270812988
all-mpnet-base-v2_6_11_6,54.06022548675537
all-mpnet-base-v2_6_11_7,52.18087410926819
all-mpnet-base-v2_6_11_8,49.59571027755737
all-mpnet-base-v2_6_11_9,47.08535695075989
all-mpnet-base-v2_6_11_10,45.45864391326904
all-mpnet-base-v2_6_11_11,44.74266314506531
all-mpnet-base-v2_6_11_12,43.25215554237366
all-mpnet-base-v2_6_11_13,43.92272996902466
all-mpnet-base-v2_6_11_14,41.64503812789917
all-mpnet-base-v2_6_11_15,41.03208804130554
all-mpnet-base-v2_6_11_16,42.060996294021606
all-mpnet-base-v2_6_11_17,40.48226189613342
all-mpnet-base-v2_6_11_18,40.3792290687561
all-mpnet-base-v2_6_11_19,46.919822216033936
all-mpnet-base-v2_6_11_20,40.61870360374451
all-mpnet-base-v2_6_11_21,38.92584705352783
all-mpnet-base-v2_6_11_22,39.88874912261963
all-mpnet-base-v2_6_11_23,38.6848840713501
all-mpnet-base-v2_6_11_24,38.661052942276
all-mpnet-base-v2_6_11_25,37.648666858673096
all-mpnet-base-v2_6_12_5,60.38420367240906
all-mpnet-base-v2_6_12_6,53.81676745414734
all-mpnet-base-v2_6_12_7,51.42635774612427
all-mpnet-base-v2_6_12_8,49.17461109161377
all-mpnet-base-v2_6_12_9,46.44651436805725
all-mpnet-base-v2_6_12_10,45.16692304611206
all-mpnet-base-v2_6_12_11,44.845468044281006
all-mpnet-base-v2_6_12_12,42.68044090270996
